"citation_id","study_id","response_id","pub_journal","pub_year","pub_number_experiments","pub_primary_secondary","pub_primary_secondary_source","pub_comments","experiment","exp_pop","exp_pop_source","exp_level_random","exp_level_random_source","exp_exp_unit","exp_obs_unit","exp_random_procedure","exp_random_procedure_source","exp_treatment_cond_num","exp_treatment_cond_num_source","exp_comments","dep_present","dep_types","dep_describe","dep_comments","partial_type","partial_type_detail","partial_standardization","partial_diversity","partial_standardization_diversity_source","partial_assign","partial_assign_type","partial_assign_detail","partial_assign_source","partial_size","partial_size_avg","partial_size_min","partial_size_max","partial_comments","analytical_outcome","analytical_goal","analytical_statistical_analysis","analytical_statistical_analysis_source","analytical_outcome_type","analytical_repeated","analytical_hierarchcial","analytical_crossclassified","analytical_multimembership","analytical_partial_cluster","analytical_other","analytical_dep_detail","analytical_partial_cluster_assign","analytical_partial_cluster_assign_source","analytical_comments","journal_type","partial_nest","partial_class","exp_treatment_provider_percent","exp_treatment_group_percent","obs_treatment_provider_percent","obs_treatment_group_percent","Score"
"111568328","111568328","27368","Aids and Behavior","2023","1","First publication of the study’s results","3697, Overview","Trial protocol and some qualitative analysis have been published elsewhere.","1","African American/  Black and Latino persons living with HIV  with non-suppressed HIV viral load levels","3695, Abstract","Individual","3699,  Experimental Design and Randomization","Participant",NA,"Block/Stratified","3699,  Experimental Design and Randomization","16 ( 5, 2 level, factors,  fractional factorial design)","3699,  Experimental Design and Randomization","Fractional factorial design","Yes","Repeated measures,Partially Nested Clusters,Hierarchical clustering","Repeated Measures: Pre, 3 follow up measures ~ Hierarchical Clustering: Interventionists gave treatment to all participants ~ Partially Clustered: Assigned to support group received group sessions, assigned to peer mentor got access to peer mentos",NA,"Treatment Provider,Group Setting","Treatment Provider: All treatment conditions had access to interventionists, those in the peer mentor condition had additional access to peer mentors via text and phone over 4 months ~ Group Settings: Those assigned to group sessions were in group sessions for 90 minutes every 2-3 weeks for 4 months","Yes","Yes","3698,  Brief Description of the Behavioral Intervention  Components ~ 6, Component D: Focused support groups (6 groups, ~90 mins.  Each, every 2-3 weeks over 4 months) (Gwadz et al. 2017)","No","Natural (Non-Random)","Not Described how units were paired with peer mentors or support groups",NA,"No",NA,NA,NA,NA,"HIV  viral suppression at 12-months","Total Effect estimation,Moderation/effect heterogeneity","A generalized linear model was used to analyze the primary  outcome of viral suppression. Specifically, the model for  viral suppression was a logistic regression analysis (i.e.,  binomial family generalized linear model with logit link  function)","3700,  Statistical Analysis","Nominal category","Other","Ignored",NA,NA,"Ignored",NA,NA,"No",NA,"Only examined repeated measure at 12 months in primary analysis","Health","PN","Grouped IRD",1,0.5,NA,NA,19
"111577920","111577920","27673","Aids and Behavior","2020","1","First publication of the study’s results","1507, Sample Size Calculation",NA,"1","participants at risk of HIV","1508, Study Population","Individual","1507,  Design of the Counseling Study","participant",NA,"Other","1507,  Design of the Counseling Study","3","1509, Fig. 1","Randomization was adaptive approach to minimize imbalance on certain factors. Randomization was done within counselor","Yes","Hierarchical clustering","Hierarchical clustering: Participants nested within counselors. Within counselors has units from each treatment arm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIV retests within 7 months","Total Effect estimation","percentage of  participants presenting for retesting within 7 months and  their 95% confidence intervals (CI) using the Clopper-Pear son method, then the 100×(1 − 2α)% CI of their differences  between each experimental arm and the control arm.","1507","Nominal category",NA,"Ignored",NA,NA,NA,NA,NA,NA,NA,NA,"Health","No-PN",NA,NA,NA,NA,NA,53
"111571095","111571095","26909","Aids and Behavior","2022","1","Based on data that have been previously published","3897, Introduction","States that results have been presented at a conference previously","1","Youth living with HIV","3897, Abstract","Individual","3898, Study Design","Participant",NA,"Block/Stratified","3898, Study Design","2","3898, Study Design","Stratification was on age. Used probability assignment within blocks","Yes","Hierarchical clustering,Partially Nested Clusters","Hierarchical clustering: All units sought treatment from sites that are spatially diverse, Partially Nested: due to coaches in treatment","10 Sites total","Treatment Provider","Remote Coaching that involved motivating the participant to keep up with their treatment for 12 weeks","Yes","Yes","3898-3899,  The Triggered Escalating Remote Coaching  Adherence (TERA) Intervention Condition","No","Natural (Non-Random)","Not described","3898-3899,  The Triggered Escalating Remote Coaching  Adherence (TERA) Intervention Condition","No",NA,NA,NA,NA,"Virologic Suppression, Adherence","Total Effect estimation","Fisher’s exact tests for categorical outcomes, Models were fit using generalized estimating equations with an exchangeable correlation structure, robust variances, and included study visit week in the model","3900,  Statistical Methods","Nominal category,Discrete Counts,Non-normal Continuous",NA,"Generalized estimating equations",NA,NA,"Ignored",NA,NA,"No",NA,"Used log binomial models.","Health","PN","Treatment Provider IRD",0.5,0,NA,NA,69
"111571485","111571485","26869","Journal of Consulting and Clinical Psychology","2020","1","Based on data that have been previously published","140, Overview of Parent Clinical Trial Procedure",NA,"1","active-duty military personnel with a substance use disorder","137, Abstract","Individual","140, Overview of Parent Clinical Trial Procedure","participants",NA,"Block/Stratified","140, Overview of Parent Clinical Trial Procedure","2","140, Overview of Parent Clinical Trial Procedure","Blocking was done on gender and substance use severity","Yes","Repeated measures,Hierarchical clustering","Repeated Measures at baseline, 3 month and 6 month. Hierarchical clustering: all units had therapy given by a therapist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Changes in Drinks per week","Moderation/effect heterogeneity,Mediation","Generalized linear multilevel models, products of coefficients method with bootstrapped standard errors (for mediation method)","142, Analytic Plan","Discrete Counts","Random effects,Robust variance estimation","Ignored",NA,NA,NA,NA,"Repeated measures were treated as random at the participant level with Huber-White sandwich estimator for robust variance. Therapists were ignored.",NA,NA,NA,"Health","No-PN",NA,NA,NA,NA,NA,49
"111572001","111572001","27149","Preventive Medicine","2022","1","Based on data that have been previously published","2, 2.1. K-DPP and participants",NA,"1","Adults at risk of diabetes","2, 2.1. K-DPP and participants","Cluster","2, 2.2. Intervention","Polling Areas","Participants","Complete/Ratio","5,  Randomization and masking (Thankappan et al., 2018)","2","2, 2.2. Intervention","had to go to the original study to find more detail info about randomization.","Yes","Hierarchical clustering,Repeated measures,Partially Nested Clusters","Repeated Measures: 3 Time points ~ Hierarchical Clustering: Polling Areas were people lived ~ Partially nested clusters: The use of groups and peer leaders within treatment.",NA,"Treatment Provider,Group Setting","Treatment provider: local experts teach in groups & and peer groups nominated people to be peer leaders. Peer leaders received training and extra support. Group Setting: participants were organized into peer groups  which met to provide peer support","Yes","Yes","7, Training, quality assurance and support for peer leaders (Thankappan et al., 2018)","No","Natural (Non-Random)","Not Described",NA,"Yes",NA,"Group Setting: 10","Group Setting: 23",NA,"depression and anxiety scores","Total Effect estimation","Mixed-effects linear regression models were used to examine the  effect of the intervention on depression and anxiety scores at 12 months  and 24 months","2, Data analysis","Continuous","Random effects","Random effects",NA,NA,"Ignored",NA,NA,"No",NA,NA,"Health","PN","Observational Group CRD",0,0,0.5,0.5,29
"111564763","111564763","26918","Journal of Consulting and Clinical Psychology","2024","1","First publication of the study’s results","674, Footnote",NA,"1","3-5th grade students with organization, time management, and planning issues","676,  Participants and Recruitment Procedures","Cluster","676,  Study Design","School","Student","Block/Stratified","676,  Study Design","2","676,  Study Design",NA,"Yes","Repeated measures,Hierarchical clustering,Partially Nested Clusters","Repeated measures: Baseline, Post, 5 month follow up, 12-month follow up ~ Hierarchical Clustering: Student nested in schools ~ Partially Nested Clusters: Students within schools receive treatment in groups. School leaders did training session and recieved consulting from treatment provider",NA,"Treatment Provider,Group Setting","Treatment providers were postdoctoral fellow or psychologist on the study team who trained and consulted with school partners.","Yes","Yes","678, Training and Consultation to Support Implementation by  School Partners ~ 679, Content Fidelity","No","Natural (Non-Random)","Not Described",NA,"No",NA,NA,NA,NA,"8 Outcomes:  organization, time management, and  planning Skills, Homework Performance, Academic Performance, Student Self-Efficacy","Total Effect estimation","intention-to-treat (as randomized) principle to examine the effect of OST-T2 at posttreatment and follow-up. rebalanced the data using inverse probability of treatment weights.  Linear mixed effects models. Models had three levels: assessment time nested within student and students nested within school","680, Data Management and Analysis","Continuous","Random effects","Random effects",NA,NA,"Ignored",NA,NA,"No",NA,NA,"Health","PN","Treatment Provider CRD",0.5,0,0,0.5,67
"111569849","111569849","26882","Journal of Consulting and Clinical Psychology","2021","1","Based on data that have been previously published","265, The Present Study",NA,"1","adults seeking  treatment for cannabis use disorder","264, Abstract","Individual","266, Assignment to Treatment","participant",NA,"Block/Stratified","266, Assignment to Treatment","4","266, Participants",NA,"Yes","Repeated measures,Hierarchical clustering","Repeated Measures: measurements of coping behaviors at different weeks were taken on all participants. Hierarchical clustering : All participants had a therapist.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temptation Responses, momentary coping","Total Effect estimation,Mediation","repeated measures MANOVA, Generalized Estimating Equations (GEE) approach using SAS proc GLM,  bayesian multilevel structural equation modeling","269, Data Analysis","Continuous,Non-normal Continuous,Nominal category","Generalized estimating equations,Other","Ignored",NA,NA,NA,NA,"repeated measures: used 2 different methods to model the repeated measures. One was a mediation analysis with GEE and the other was a multilevel structural  equation modeling",NA,NA,"They have many types of models in this paper. Hard to tell what exact model specifications they had.","Health","No-PN",NA,NA,NA,NA,NA,45
"111566181","111566181","29134","Journal of Educational Psychology","2023","1","First publication of the study’s results","780, Participants and Design",NA,"1","college students were recruited from a university in central China","786, Participants and Design","Individual","786, Participants and Design","Participant",NA,"Simple/Probability","786, Participants and Design","3","786, Participants and Design",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Education","No-PN",NA,NA,NA,NA,NA,23
"111577860","111577860","27397","Aids and Behavior","2020","1","First publication of the study’s results","1532, Introduction",NA,"1","Adults with HIV diagnosis in antiretroviral therapy","1532, Subjects","Individual","1532, Experimental Design","Subjects",NA,"Block/Stratified","1532, Experimental Design","2","1532, Experimental Design",NA,"Yes","Partially Nested Clusters,Repeated measures","Repeated Measures: Pre and Post ~ Partially Nested Clusters: Those in treatment assigned trainers to facilitate exercise",NA,"Treatment Provider","experienced and licensed exercise physiologists, and each trainer was responsible for a maximum of three subjects.","Yes","No","1533,  Training Protocol","No","Natural (Non-Random)","Not Described",NA,"Yes",NA,"Not Reported","3",NA,"Anxiety, Depression, Quality of Life Scales ~  Body  composition variables","Total Effect estimation","one way analysis of variance (ANOVA), followed by Bonferroni post hoc test ~  To determine the effects of training in  strength and body composition variables, the post-training  values were compared between groups using an analysis of  covariance (ANCOVA) ~  Depression and anxiety scores were compared using Fisher’s exact test.","1536, Statistical Analysis","Continuous,Nominal category","Other",NA,NA,NA,"Ignored",NA,NA,"No",NA,"Repeated Measures: Pre and Post treated as ANCOVA.","Health","PN","Treatment Provider IRD",0.5,0,NA,NA,70
"111569846","111569846","26915","Journal of Consulting and Clinical Psychology","2021","1","First publication of the study’s results","316, Footnote","First paper involved with Full RCT data. Other papers explored used pre-treatment data.","1","Women with  Provoked vestibulodynia (PVD)  and their partner","317, Participants","Cluster","318, Figure 1","Couples","Women and their Partner","Block/Stratified","319, Procedure","2","318, Figure 1","Simple randomization within strata. Strata is not described.","Yes","Repeated measures,Hierarchical clustering,Partially Nested Clusters","Repeated Measures: 3 measurements taken, Hierarchical clustering: couples outcomes measured on just women or both women and partner, Partially Nested Clusters: Therapists",NA,"Treatment Provider,Group Setting","Therapists delivered treatment to couples in a group setting with just the two people in the couple. Group setting is the shared therapy session.","Yes","Yes","319,  Cognitive-Behavioral Couple Therapy","No","Natural (Non-Random)","Not described","319,  Cognitive-Behavioral Couple Therapy","No",NA,NA,NA,NA,"Women’s Pain. Secondary Outcomes:  Sexual function, Sexual distress, Pain catastrophizing","Total Effect estimation","multilevel modeling","320, Data Analytic Strategy","Continuous","Random effects","Other",NA,NA,"Ignored",NA,NA,"No",NA,"Couple clusters were ignored because women and partners were analysis separately","Health","PN","Treatment Provider CRD",0.5,0,0.5,0.5,72
"111577547","111577547","26913","Prevention Science","2020","1","Based on data that have been previously published","704, Participants",NA,"1","predominantly Latino low income families with infants","704, The Current Study","Individual","703, Participants","Participant",NA,"Complete/Ratio","705, Figure 1","2","705, Figure 1","I recorded complete randomization because sample size across experimental conditions is the same","Yes","Hierarchical clustering,Partially Nested Clusters","Hierarchical Clustering: EHS Site. Partial Nested by treatment provider offering intervention",NA,"Treatment Provider","two female, bilingual, certified parent coaches met with families and infants to deliver treatment","Yes","No","704, The Attachment and Biobehavioral Catch-up Intervention","No","Natural (Non-Random)","Not described","704, The Attachment and Biobehavioral Catch-up Intervention","No",NA,NA,NA,"The standardization was a comment on that they used a intervention manual","Mother-Reported Infant Emotion Dysregulation Index,  Observed Mother-Oriented,  Self-Soothing Emotion  Regulation Strategies","Total Effect estimation,Moderation/effect heterogeneity","ordinary least squares (OLS) regression","707,  Analytic Approach","Continuous",NA,"Random effects,Ignored",NA,NA,"Ignored",NA,NA,"No",NA,"Tested for random effect for hierarchal clustering but found that ICC were small so used OLS regression.","Health","PN","Treatment Provider IRD",0.5,0,NA,NA,61
"111567874","111567874","26982","Aids and Behavior","2024","1","Based on data that have been previously published","228,  Study Design and Participants",NA,"1","adults who inject drugs from neighborhoods with high prevalence of HIV","228,  Study Design and Participants","Cluster","Figure S.1. Supplementary Material","Peer Network","index and peers in network","Block/Stratified","741,  Eligibility criteria (Latkin et al. 2009)","2","Figure S.1.  Supplementary Material","Blocks were created overtime based on rolling recruitment every 12 eligible index members do randomization to make groups of 6.","Yes","Hierarchical clustering,Partially Nested Clusters,Repeated measures","Repeated Measures: Baseline and follow-up visits occurred at 6-month intervals for up to 30 months ~ Hierarchical Clustering: Network clusters with an index (center) and members ~ Partially Nested Clusters: Group settings where indexs were trained",NA,"Group Setting","Index (center of network) received peer education","No","Yes","746 Discussion (Latkin et al. 2009)","Yes","Randomized within Blocks/Strata","Peer Groups were created sequentially based on rolling recruitment. There was one peer group per block sequence","741,  Eligibility criteria (Latkin et al. 2009)","Yes",NA,"6",NA,"Only minimum size was given","self-report count of any injection risk behaviors","Total Effect estimation,Other","inverse-probability-weighted (IPW) log-binomial  mixed effects models","229,  Statistical Analysis","Discrete Counts","Random effects","Random effects,Robust variance estimation",NA,NA,"Ignored",NA,"robust sandwich variance estimators used at the network level","No","229,  Statistical Analysis","Could have accounted for randomization blocks","Health","PN","Grouped CRD",0,0.5,0,0,49
"111568242","111568242","27079","Preventive Medicine","2023","1","First publication of the study’s results","2, Study participants and setting","Did not mention another study","1","adults experiencing homelessness and alcohol use disorder","1, Abstract","Individual","2, Randomization","Participant",NA,"Block/Stratified","2, Randomization","2","2, Randomization",NA,"Yes","Partially Nested Clusters,Repeated measures","Repeated measures: Monthly repeated measures, Partially Nested Clusters: Participants in treatment may or may not share employment specialist. It is unclear how many employment specialist there are.","It is unclear how many employment specialist there are.","Treatment Provider","employment specialist to engaging in job-seeking behavior","No","No","Not Discussed","No","Natural (Non-Random)","Not Described","Not Reported","No",NA,NA,NA,"Almost no details provided about the employment specialist","Alcohol  abstinence (self-reported alcohol use)","Total Effect estimation","Single-time-point measures were analyzed using logistic regression.  Measures assessed monthly were analyzed with a longitudinal logistic  regression model. Within-person correlated outcomes were handled  using generalized estimating equations","3, Outcomes","Nominal category","Generalized estimating equations",NA,NA,NA,"Ignored",NA,NA,NA,NA,NA,"Health","PN","Treatment Provider IRD",0.5,0,NA,NA,70
"111564766","111564766","26932","Journal of Educational Psychology","2024","1","First publication of the study’s results","The Present RCT, 3",NA,"1","Second-grade children with learning difficulty in reading comprehension & word-problem solving","1, Abstract","Individual","5, Participants","Children",NA,"Complete/Ratio","5, Participants","3","5, Participants","Did not say what kind of randomization but have same exact sample sizes. 74,74,73 complete","Yes","Hierarchical clustering,Partially Nested Clusters","Hierarchical Clustering: Students nested in 109 classrooms and 21 schools ~ Partially Nested Clusters: Students in treatment received tutoring. Tutors crossed between treatment conditions.","I think tutoring is delivered individually to each student.","Treatment Provider","university master’s students taught by  Pamela M. Seethaler to give treatment","Yes","No","8,  Tutor Training, Support, and Fidelity","No","Natural (Non-Random)","Not Reported",NA,"Yes",NA,"2","6",NA,"Performance on experimental  tasks on Reading comprehension and word-problem solving","Total Effect estimation,Mediation","multilevel specifications that included classroom-specific  random effects; this accounted for covariation among outcomes within classroom. To account for dependence of outcomes within school, we  employed a design-based adjustment to standard errors & multilevel mediation","9, Data Analysis","Continuous",NA,"Random effects,Robust variance estimation",NA,NA,"Ignored",NA,"Hierarchical clusters: treating schools with robust cluster variance and used random effects for classroom","No",NA,NA,"Education","PN","Treatment Provider IRD",0.666666666666667,0,NA,NA,44
"111570054","111570054","27147","Journal of Consulting and Clinical Psychology","2020","1","Based on data that have been previously published","1, Footnote",NA,"1","Young Adults who conduct  nonsuicidal self-injury","2, Sample, Design and Procedure","Individual","2, Sample, Design and Procedure","Participant",NA,"Block/Stratified","2, Sample, Design and Procedure","2","2, Sample, Design and Procedure",NA,"Yes","Partially Nested Clusters,Repeated measures","Repeated Measures: 3 measures, Partially Nested Clusters: Treatment provider doctoral students who gave intervention.",NA,"Treatment Provider","Treatment provider: doctoral students in a  clinical psychology program trained and supervised by the first  author","Yes","No","2,  Sample, Design, and Procedure","No","Natural (Non-Random)","Not described",NA,"No",NA,NA,NA,NA,"Number of NSSI Behaviors","Moderation/effect heterogeneity","SPSS MIXED to  examine the effects of moderators on NSSI behaviors. Models  used restricted maximum likelihood estimation with a random intercept and slope for subject.","3, Data Analysis","Continuous","Random effects",NA,NA,NA,"Ignored",NA,NA,"No",NA,NA,"Health","PN","Treatment Provider IRD",0.5,0,NA,NA,63
"111565233","111565233","26938","Prevention Science","2024","1","Based on data that have been previously published","634, Overview and Design","This study is on a subsample of a larger experiment","1","young children showing elevated behavioral and academic risk","634,  Overview and Design","Cluster","1, Abstract","School","Student","Block/Stratified","634,  Overview and Design","2","634,  Overview and Design",NA,"Yes","Partially Nested Clusters,Hierarchical clustering","Hierarchical Clustering: Students nested in schools ~ Partially Nested Clusters: Various treatment providers possibly between schools. Peer groups formed within the school",NA,"Treatment Provider,Group Setting","Treatment Provider: Family Consultant, experienced teachers, reading mentors ~ Group Setting: Students in treatment had small groups sessions","Yes","Yes","636,  Delivery Agents for the Intervention Components","No","Natural (Non-Random)","delivery agents for the family, peer, and classroom components, all from the local community and matching the racial makeup of child and family participants","636,  Delivery Agents for the Intervention Components","Yes","Groups : 4 ~ Treatment provider : not reported","Groups : 4 ~ Treatment provider : not reported","Groups : 4 ~ Treatment provider : not reported",NA,"Academic Outcomes and Behavioral/Social Adjustment Outcomes","Total Effect estimation","multi level linear mixed models were applied to all outcomes, with  school treated as a random effect, children nested within  schools, and the intervention variable represented as multi component intervention versus control.","638,  Data Analytic Plan","Continuous",NA,"Random effects",NA,NA,"Ignored",NA,NA,"No",NA,"In this experiment there were many types of treatment providers in the study acting on different levels, classroom, family, and student.","Health","PN","Treatment Provider CRD",0.5,0,0.5,0.5,7
"111574364","111574364","27113","Evaluation Review","2021","6 experiments pooled","Based on data that have been previously published","236, The PROMISE Projects",NA,"1","Youth who receive  Supplemental Security Income","228, Abstract","Individual","241, Study Design","Participant",NA,"Simple/Probability","236, The PROMISE Projects","2","236, The PROMISE Projects",NA,"Yes","Hierarchical clustering,Partially Nested Clusters","Hierarchical Clustering: Each site did an experiment in which all participants are nested under. Partially Nested Clusters: Within sites in treatment various supports for treatment provider and group settings",NA,"Treatment Provider,Group Setting","Various types of counselors and staff that varied across sites. Sometimes implementation involved group meetings","No","Yes","236,  The PROMISE Projects","No","Other","Unclear since each site may have used a different strategy to assign people to site support.",NA,"No",NA,NA,NA,"Since treatment various across site it is hard without diving into each site individually how they handled partial clustering.","(1) receipt of transition services, (2)  receipt of education and training credentials, and (3) attainment of employment and earnings","Total Effect estimation,Moderation/effect heterogeneity","compared average outcomes for the treatment and  control groups using a regression-based covariate adjustment to account for  baseline characteristics. When we pooled data across the projects we weighted the  projects equally and used adjusted Wald tests to assess whether impacts  differed across the projects.","247, Analysis Methods","Continuous",NA,"Fixed effects",NA,NA,"Ignored",NA,NA,NA,NA,"Two types of analysis. Individually at each site taking into account the sites randomization design and a pooled analysis which ignores design randomization.","Health","PN","Grouped IRD",0.5,0.5,NA,NA,3
"111568386","111568386","27458","Journal of Educational Psychology","2021","1","First publication of the study’s results","5, Research Questions","No mention of other study results.","1","sixth through eighth grade teachers","1, Abstract","Individual","6, Study Design","Teachers",NA,"Block/Stratified","7, Study Design","2","6, Study Design",NA,"Yes","Partially Nested Clusters,Repeated measures","Repeated Measures: Baseline, post test, 4 month follow up ~ Partially Nested Clusters: One treatment provider delivered treatment, teachers within cohort met in groups to receive treatment.",NA,"Treatment Provider,Group Setting","Treatment Provider: treatment provider was creator of treatment condition and taught 2 cohorts, Group Settings: Within cohort teachers received treatment at the same location.","Yes","Yes","7, Study Design","Yes","Randomized within Blocks/Strata","Only one treatment provider in this experiment. Treatment was given within cohort only one group setting per cohort.","7, Study Design","Yes","14.5","14","15",NA,"Teacher mindfulness and self-compassion ~ quality of teachers’ interactions with students in the classroom","Total Effect estimation,Moderation/effect heterogeneity","Regression analyses using R software (RCore  Team, 2013) and the Lavaan package (Rosseel, 2012) were conducted for each outcome at each time point.","10,  Primary Analyses","Continuous","Other",NA,NA,NA,"Ignored",NA,NA,"No",NA,"Repeated Measures: Controlled for baseline and each post test was treated separately","Education","PN","Grouped IRD",0.5,0.5,NA,NA,12
"111573506","111573506","27229","Prevention Science","2022","2","First publication of the study’s results","Could not find a reference to other study",NA,"1","5th graders","12. Fig 1","Cluster","11, Methods","Schools","Students","Other","12, Randomization","2","12, Fig 1","Randomization was Efron's biased coin","Yes","Hierarchical clustering,Partially Nested Clusters","Hierarchical Clustering: Students nested within schools ~ Partially Nested : Police officers taught treatment in student's classrooms","Unclear if police officers were in student's classrooms or some other form of classroom.","Treatment Provider","Treatment Provider: Lessons taught by trained police officers","Yes","No","12, Intervention","No","Natural (Non-Random)","Unclear how many police officers there were and how they were assigned to schools.","12, Intervention","No",NA,NA,NA,NA,"school  experience, intentions to use drugs, communication skills, and  decision-making skills (scales)","Total Effect estimation","Three models were  used for school experience, communication skills, and positive and negative attitudes toward drugs (i.e., the counting  variables): Poisson regression, zero-inflated Poisson regression, and negative binomial regression.  All analyses considered the multilevel structure of data and  were adjusted for sex, age, socioeconomic status (SES), and  baseline outcomes.","14,  Statistical Analysis ~ 19, Table 5","Discrete Counts,Continuous",NA,"Robust variance estimation",NA,NA,"Ignored",NA,NA,"No",NA,NA,"Health","PN","Observational Treatment Provider CRD",0,0,0.5,0,35
"111573506","111573506","27229","Prevention Science","2022","2","First publication of the study’s results","Could not find a reference to other study",NA,"2","7th graders","12. Fig 1","Cluster","11, Methods","School","Students","Other","12, Randomization","2","12, Fig 1","Randomization was Efron's biased coin","Yes","Hierarchical clustering,Partially Nested Clusters","Hierarchical Clustering: Students nested within schools ~ Partially Nested : Police officers taught treatment in student's classrooms","Unclear if police officers were in student's classrooms or some other form of classroom.","Treatment Provider","Treatment Provider: Lessons taught by trained police officers","Yes","No","12, Intervention","No","Natural (Non-Random)","Unclear how many police officers there were and how they were assigned to schools.","12, Intervention","No",NA,NA,NA,NA,"school  experience, intentions to use drugs, communication skills,  decision-making skills,  Positive attitudes & negative attitudes,  Refusal skills","Total Effect estimation","Dichotomous outcomes (refusal skills to alcohol, cigarettes, and marijuana) were analyzed using logistic regressions conditioned to baseline status. Three models were  used for school experience, communication skills, and positive and negative attitudes toward drugs (i.e., the counting  variables): Poisson regression, zero-inflated Poisson regression, and negative binomial regression.  All analyses considered the multilevel structure of data and  were adjusted for sex, age, socioeconomic status (SES), and  baseline outcomes.","14,  Statistical Analysis ~ 19, Table 5","Continuous,Nominal category,Discrete Counts",NA,"Robust variance estimation",NA,NA,"Ignored",NA,NA,"No",NA,NA,"Health","PN","Observational Treatment Provider CRD",0,0,0.5,0,35
"111566585","111566585","28712","Obesity","2024","1","First publication of the study’s results","1072, Study design",NA,"1","Female patients diagnosed with lipedema, aged 18 to 75 years old and with BMI between 30 and 45 kg/m2","1073, Study Population","Individual","1072, Study design","Participant",NA,"Block/Stratified","1073, Study design","2","1075, Figure 1",NA,"Yes","Repeated measures","Repeated Measures: Baseline and Week 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 outcomes related to body weight and body composition ~ Pain questionnaire ~ 3 quality of life scales","Total Effect estimation","linear mixed-effect models","1074, Statistical analysis","Continuous","Random effects",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Health","No-PN",NA,NA,NA,NA,NA,70
"111568461","111568461","27281","Journal of Research on Educational Effectiveness","2022","1","First publication of the study’s results","307,  Study Context",NA,"1","grade 1 or grade 1/2 Teachers","308, Intervention Arm: Teacher Professional Learning","Cluster","307, Study Context","Schools","Teachers","Block/Stratified","308,  Study Context","2","308,  Study Context",NA,"Yes","Partially Nested Clusters,Hierarchical clustering","Hierarchical Clustering: All teachers nested in schools, Partially Nested Clusters: All teachers exposed to same group setting & had access to 2 treatment providers","The partial clusters is only 1 large group and 2 treatment providers","Group Setting,Treatment Provider","Treatment Provider: Teachers had access to intervention coaches. ~ Group Settings: Teachers attended multi day group training together (possibly across schools)","No","No","308-309  Intervention Arm: Teacher Professional Learning ~310, Table 1","No","Other","There is only one treatment group setting with 2 treatment providers helping everyone.","308-309  Intervention Arm: Teacher Professional Learning","No",NA,NA,NA,"There is only one large group and 2 treatment providers","Proportion and count of Teacher Talk","Total Effect estimation","Differences between study arms in the raw number and the proportions of  each of the outcomes were calculated using linear regression models adjusted for the  randomization factor of school education sector (Government or Catholic). To allow for  the clustering of teachers within schools, the standard errors were calculated allowing  for intragroup correlation structure of the data.","315,  Statistical Analyses","Continuous",NA,"Robust variance estimation",NA,NA,"Other",NA,NA,"No",NA,"In this case there is not multiple partial nested clusters so there is no way to handle partial clusters.","Education","PN","Observational Group CRD",0,0,0.5,0.5,9
"111575914","111575914","27267","Addictive Behaviors","2021","1","First publication of the study’s results","Not explicitly said",NA,"1","abstinent individuals with alcohol use disorders","1, Abstract","Individual","2, Participants","Participants",NA,"Complete/Ratio","2, Participants","2","2, Participants","Does not explicitly state randomization process but seems like they had a fixed number of participants so coded as complete.","Yes","Partially Nested Clusters,Repeated measures","Repeated Measures: 3 time points for treatment, 2 time points for control ~ Partially Nested Clusters: Participants received treatment in group settings by a single therapist",NA,"Group Setting,Treatment Provider","Treatment Provider: A single therapist delivered treatment ~ Group Setting: six weekly 3-hour ART therapy sessions in a group of 6 to 8 persons","No","No","4, Affect Regulation Training","Yes","Natural (Non-Random)","Not Described",NA,"Yes",NA,"6","8",NA,"Cognitive Emotion Regulation Questionnaire subscales and  Five Facets Mindfulness Questionnaire Subscales","Moderation/effect heterogeneity,Total Effect estimation","Linear mixed-effect models (using individuals as a random effect  and groups and time as fixed effects) compared the means between the  two groups on ER strategies and mindfulness ability across the two  times (T0, T1).","4, Statistical Analyses","Continuous","Random effects",NA,NA,NA,"Ignored",NA,NA,"No",NA,NA,"Health","PN","Grouped IRD",0.5,0.5,NA,NA,4
